"V1" "V2" "V3" "V4" "V5" "V6"
"68" "img/2733000_1176500_2733500_1177000.tiff" 1280 1250 1470 1440 "graveyard"
"82" "img/2613500_1188000_2614000_1188500.tiff" 4710 250 4960 1850 "graveyard"
"83" "img/2514000_1147500_2514500_1148000.tiff" 1010 4460 1440 4690 "graveyard"
"84" "img/2724000_1079500_2724500_1080000.tiff" 800 3760 1080 4120 "graveyard"
"85" "img/2724000_1079500_2724500_1080000.tiff" 2730 3010 3210 3330 "graveyard"
"88" "img/2539000_1181000_2539500_1181500.tiff" 0 4360 650 5000 "school"
"89" "img/2539000_1181000_2539500_1181500.tiff" 130 4210 190 4300 "school"
"90" "img/2539000_1181000_2539500_1181500.tiff" 800 3820 1450 4530 "school"
"91" "img/2539000_1181000_2539500_1181500.tiff" 1750 3490 1900 3660 "school"
"92" "img/2539000_1181000_2539500_1181500.tiff" 2130 2220 2230 2320 "school"
"93" "img/2539000_1181000_2539500_1181500.tiff" 3610 1970 3690 2020 "school"
"94" "img/2539000_1181000_2539500_1181500.tiff" 0 1500 280 1820 "school"
"95" "img/2539000_1181000_2539500_1181500.tiff" 0 1100 660 2100 "school"
"98" "img/2778000_1198500_2778500_1199000.tiff" 830 4600 1200 4840 "graveyard"
"99" "img/2778000_1198500_2778500_1199000.tiff" 2730 4510 3460 4910 "graveyard"
"100" "img/2778000_1198500_2778500_1199000.tiff" 3360 4330 3730 4690 "graveyard"
"101" "img/2778000_1198500_2778500_1199000.tiff" 840 3940 1130 4150 "graveyard"
"121" "img/2692000_1248000_2692500_1248500.tiff" 0 770 1350 2140 "graveyard"
"122" "img/2661000_1240500_2661500_1241000.tiff" 4350 3320 4900 4070 "graveyard"
"129" "img/2728500_1125500_2729000_1126000.tiff" 1280 360 1470 550 "graveyard"
"150" "img/2719500_1261500_2720000_1262000.tiff" 1530 4350 2020 4860 "graveyard"
"151" "img/2719500_1261500_2720000_1262000.tiff" 3660 1990 3980 2290 "graveyard"
"152" "img/2719500_1261500_2720000_1262000.tiff" 40 1050 270 1460 "graveyard"
"153" "img/2719500_1261500_2720000_1262000.tiff" 0 760 710 1890 "graveyard"
"154" "img/2536000_1154000_2536500_1154500.tiff" 0 4830 90 5000 "school"
"155" "img/2536000_1154000_2536500_1154500.tiff" 590 4150 960 4490 "school"
"156" "img/2536000_1154000_2536500_1154500.tiff" 410 3910 650 4110 "school"
"157" "img/2536000_1154000_2536500_1154500.tiff" 1030 3270 1180 3600 "school"
"158" "img/2536000_1154000_2536500_1154500.tiff" 1180 1940 2670 3330 "school"
"169" "img/2558000_1208500_2558500_1209000.tiff" 1270 3450 1570 3770 "school"
"170" "img/2558000_1208500_2558500_1209000.tiff" 2750 2080 3280 2690 "school"
"198" "img/2539500_1165500_2540000_1166000.tiff" 0 3110 350 4000 "school"
"199" "img/2539500_1165500_2540000_1166000.tiff" 0 2050 850 3340 "school"
"200" "img/2539500_1165500_2540000_1166000.tiff" 570 1350 1560 2400 "school"
"201" "img/2539500_1165500_2540000_1166000.tiff" 110 990 1100 2040 "school"
"202" "img/2682000_1291000_2682500_1291500.tiff" 320 2370 570 2590 "school"
"203" "img/2682000_1291000_2682500_1291500.tiff" 180 1390 830 1760 "school"
"205" "img/2741000_1273000_2741500_1273500.tiff" 1900 3340 2100 3550 "school"
"206" "img/2741000_1273000_2741500_1273500.tiff" 1400 2930 1640 3260 "school"
"207" "img/2741000_1273000_2741500_1273500.tiff" 1570 2880 2030 3250 "school"
"208" "img/2741000_1273000_2741500_1273500.tiff" 1510 2420 2530 3180 "school"
"225" "img/2536500_1161000_2537000_1161500.tiff" 2950 2550 3340 2950 "graveyard"
"226" "img/2536500_1161000_2537000_1161500.tiff" 1480 220 1630 430 "graveyard"
"227" "img/2536500_1161000_2537000_1161500.tiff" 1760 100 2040 380 "graveyard"
"228" "img/2536500_1161000_2537000_1161500.tiff" 1550 40 1870 260 "graveyard"
"243" "img/2666500_1208000_2667000_1208500.tiff" 0 4850 910 5000 "graveyard"
"244" "img/2666500_1208000_2667000_1208500.tiff" 4580 1320 4700 1440 "graveyard"
"245" "img/2730000_1271000_2730500_1271500.tiff" 280 3760 750 4070 "school"
"246" "img/2730000_1271000_2730500_1271500.tiff" 0 3700 280 3870 "school"
"247" "img/2730000_1271000_2730500_1271500.tiff" 720 3530 1580 4160 "school"
"248" "img/2730000_1271000_2730500_1271500.tiff" 1560 3420 1860 3650 "school"
"249" "img/2730000_1271000_2730500_1271500.tiff" 640 3280 1830 3720 "school"
"250" "img/2730000_1271000_2730500_1271500.tiff" 1860 3350 2010 3560 "school"
"251" "img/2730000_1271000_2730500_1271500.tiff" 780 3280 1220 3590 "school"
"252" "img/2730000_1271000_2730500_1271500.tiff" 230 3210 380 3340 "school"
"253" "img/2730000_1271000_2730500_1271500.tiff" 0 2490 2310 4560 "school"
"254" "img/2730000_1271000_2730500_1271500.tiff" 1310 3020 1590 3330 "school"
"255" "img/2730000_1271000_2730500_1271500.tiff" 1190 2660 1720 2940 "school"
"256" "img/2730000_1271000_2730500_1271500.tiff" 4050 2610 4320 2840 "school"
"263" "img/2546000_1170500_2546500_1171000.tiff" 4560 510 4940 1230 "graveyard"
"291" "img/2677000_1240500_2677500_1241000.tiff" 4320 1620 4910 2560 "graveyard"
"294" "img/2674500_1280500_2675000_1281000.tiff" 630 4410 1100 4900 "graveyard"
"295" "img/2660500_1244000_2661000_1244500.tiff" 2360 3100 3150 4530 "graveyard"
"296" "img/2660500_1244000_2661000_1244500.tiff" 3700 2930 3770 3050 "graveyard"
"309" "img/2732000_1268500_2732500_1269000.tiff" 1490 4340 2070 4740 "school"
"310" "img/2732000_1268500_2732500_1269000.tiff" 1270 2670 2120 3360 "school"
"327" "img/2547000_1163000_2547500_1163500.tiff" 3770 3710 4270 4550 "graveyard"
"331" "img/2601000_1200500_2601500_1201000.tiff" 1120 4910 1430 5000 "school"
"332" "img/2601000_1200500_2601500_1201000.tiff" 1030 4140 2540 5000 "school"
"333" "img/2601000_1200500_2601500_1201000.tiff" 3120 3020 3530 3380 "school"
"334" "img/2601000_1200500_2601500_1201000.tiff" 1580 1810 1850 2050 "school"
"339" "img/2755500_1221000_2756000_1221500.tiff" 2320 4810 3720 5000 "school"
"340" "img/2755500_1221000_2756000_1221500.tiff" 750 140 1060 1030 "school"
"341" "img/2755500_1221000_2756000_1221500.tiff" 830 50 1270 360 "school"
"342" "img/2755500_1221000_2756000_1221500.tiff" 820 20 1110 90 "school"
"376" "img/2578500_1216000_2579000_1216500.tiff" 2880 3250 3290 3840 "graveyard"
"377" "img/2578500_1216000_2579000_1216500.tiff" 1940 110 2910 840 "graveyard"
"382" "img/2495500_1115000_2496000_1115500.tiff" 2550 320 3830 970 "school"
"383" "img/2495500_1115000_2496000_1115500.tiff" 770 220 1270 1640 "school"
"384" "img/2495500_1115000_2496000_1115500.tiff" 2340 100 4070 710 "school"
"385" "img/2495500_1115000_2496000_1115500.tiff" 4630 60 4950 460 "school"
"388" "img/2558500_1143500_2559000_1144000.tiff" 0 2200 1260 3970 "graveyard"
"389" "img/2558500_1143500_2559000_1144000.tiff" 0 1480 170 1640 "graveyard"
"390" "img/2558500_1143500_2559000_1144000.tiff" 0 840 1060 1790 "graveyard"
"391" "img/2558500_1143500_2559000_1144000.tiff" 0 840 470 1200 "graveyard"
"393" "img/2645500_1223000_2646000_1223500.tiff" 4720 30 4960 220 "school"
"405" "img/2715000_1095500_2715500_1096000.tiff" 820 3040 1020 3340 "graveyard"
"406" "img/2715000_1095500_2715500_1096000.tiff" 890 2780 1500 3320 "graveyard"
"422" "img/2653000_1220000_2653500_1220500.tiff" 1040 1970 2990 3540 "school"
"423" "img/2653000_1220000_2653500_1220500.tiff" 2150 2180 2540 2540 "school"
"424" "img/2653000_1220000_2653500_1220500.tiff" 860 900 1560 1650 "school"
"431" "img/2675000_1241500_2675500_1242000.tiff" 3980 3450 4860 4580 "school"
"442" "img/2635500_1123000_2636000_1123500.tiff" 1000 4760 1290 4870 "graveyard"
"443" "img/2635500_1123000_2636000_1123500.tiff" 930 4560 1200 4870 "graveyard"
"444" "img/2635500_1123000_2636000_1123500.tiff" 3480 4280 4110 4980 "graveyard"
"445" "img/2635500_1123000_2636000_1123500.tiff" 1150 4250 1280 4550 "graveyard"
"446" "img/2635500_1123000_2636000_1123500.tiff" 4260 4260 4430 4490 "graveyard"
"447" "img/2635500_1123000_2636000_1123500.tiff" 1350 2840 1720 3260 "graveyard"
"448" "img/2635500_1123000_2636000_1123500.tiff" 1460 2690 1780 2910 "graveyard"
"449" "img/2635500_1123000_2636000_1123500.tiff" 1240 2400 1410 2520 "graveyard"
"450" "img/2635500_1123000_2636000_1123500.tiff" 960 2170 1390 2450 "graveyard"
"463" "img/2625500_1199000_2626000_1199500.tiff" 540 4110 2410 5000 "school"
"464" "img/2625500_1199000_2626000_1199500.tiff" 760 4060 1530 4720 "school"
"465" "img/2625500_1199000_2626000_1199500.tiff" 1580 4130 2040 4570 "school"
"466" "img/2625500_1199000_2626000_1199500.tiff" 0 170 880 1310 "school"
"467" "img/2613500_1212500_2614000_1213000.tiff" 0 2450 590 3490 "school"
"468" "img/2724000_1258500_2724500_1259000.tiff" 0 4350 380 4680 "graveyard"
"469" "img/2724000_1258500_2724500_1259000.tiff" 4810 2580 4970 3260 "graveyard"
"470" "img/2724000_1258500_2724500_1259000.tiff" 4850 2630 4980 3140 "graveyard"
"494" "img/2618000_1200500_2618500_1201000.tiff" 2420 2120 2780 2720 "graveyard"
"495" "img/2674000_1280000_2674500_1280500.tiff" 4100 3110 4340 3330 "school"
"499" "img/2529000_1167500_2529500_1168000.tiff" 2810 1980 3750 2770 "school"
"500" "img/2529000_1167500_2529500_1168000.tiff" 2580 360 4110 2730 "school"
"501" "img/2529000_1167500_2529500_1168000.tiff" 3840 730 4100 990 "school"
"527" "img/2607000_1266500_2607500_1267000.tiff" 1870 2040 2800 2830 "school"
"528" "img/2607000_1266500_2607500_1267000.tiff" 2500 110 4380 800 "school"
"535" "img/2607500_1210500_2608000_1211000.tiff" 3190 4100 4740 5000 "school"
"536" "img/2607500_1210500_2608000_1211000.tiff" 3780 4480 4200 4980 "school"
"576" "img/2605500_1259000_2606000_1259500.tiff" 3500 50 4170 380 "graveyard"
"590" "img/2646500_1134000_2647000_1134500.tiff" 3760 1960 4390 2620 "school"
"591" "img/2646500_1134000_2647000_1134500.tiff" 4280 1770 4680 2200 "school"
"592" "img/2646500_1134000_2647000_1134500.tiff" 3360 140 3710 480 "school"
"593" "img/2533500_1179500_2534000_1180000.tiff" 590 2850 1220 3420 "graveyard"
"594" "img/2490500_1120000_2491000_1120500.tiff" 3850 4140 4320 4540 "graveyard"
"596" "img/2632500_1168000_2633000_1168500.tiff" 4450 2130 4920 3290 "school"
"609" "img/2674500_1235000_2675000_1235500.tiff" 0 4160 1160 5000 "school"
"610" "img/2674500_1235000_2675000_1235500.tiff" 3110 4550 3540 4820 "school"
"611" "img/2674500_1235000_2675000_1235500.tiff" 410 3880 3280 5000 "school"
"612" "img/2674500_1235000_2675000_1235500.tiff" 150 4220 540 4550 "school"
"613" "img/2674500_1235000_2675000_1235500.tiff" 0 2630 200 3260 "school"
"614" "img/2674500_1235000_2675000_1235500.tiff" 3900 70 4440 490 "school"
"623" "img/2546000_1192500_2546500_1193000.tiff" 380 4060 660 4430 "graveyard"
"630" "img/2637500_1237500_2638000_1238000.tiff" 500 2990 1290 3790 "school"
"632" "img/2607500_1230000_2608000_1230500.tiff" 4160 4840 4840 5000 "graveyard"
"633" "img/2607500_1230000_2608000_1230500.tiff" 4300 4230 4510 4490 "graveyard"
"649" "img/2736500_1265000_2737000_1265500.tiff" 4800 4900 4970 5000 "graveyard"
"654" "img/2686000_1245000_2686500_1245500.tiff" 70 4250 3880 5000 "graveyard"
"655" "img/2686000_1245000_2686500_1245500.tiff" 0 2920 610 4200 "graveyard"
"656" "img/2686000_1245000_2686500_1245500.tiff" 830 2340 3510 4250 "graveyard"
"657" "img/2686000_1245000_2686500_1245500.tiff" 570 710 850 880 "graveyard"
"658" "img/2686000_1245000_2686500_1245500.tiff" 580 510 890 710 "graveyard"
"659" "img/2686000_1245000_2686500_1245500.tiff" 0 290 1160 1010 "graveyard"
